PostCodes,Posttown,GDescription
GL50,Gloucestershire,Group 2
BT26,Lisburn,Unallocated
BT70,Dungannon,Unallocated
DG1,Dumfries and Galloway,Group 1
SA80,Swansea,Group 2
KT8,Greater London,Group 2
CV13,Leicestershire,Group 2
S56,South Yorkshire,Group 1
BN15,West Sussex,Group 3
NW1,Greater London,Group 3
BB7,Lancashire,Group 1
CM1,Greater London,Group 3
IV46,Highland,Group 1
CM77,Greater London,Group 3
S21,Derbyshire,Group 1
IV40,Highland,Group 1
TQ1,Devon,Group 2
WF15,West Yorkshire,Group 1
TS5,North Yorkshire,Group 1
GL14,Gloucestershire,Group 2
SE21,Greater London,Group 3
LL41,Gwynedd,Group 2
LL34,Conwy,Group 2
WC1E,Greater London,Group 3
TA13,Somerset,Group 2
TN29,Kent,Group 3
PE15,Cambridgeshire,Group 1
TS4,North Yorkshire,Group 1
B91,West Midlands,Group 2
LL61,Isle of Anglesey,Group 2
W1D,Greater London,Group 3
L36,Merseyside,Group 2
SA42,Pembrokeshire,Group 2
G67,Glasgow City,Group 1
50,Ards,Unallocated
TF6,Shropshire,Group 2
S38,South Yorkshire,Group 1
EX36,Devon,Group 2
CH8,Flintshire,Group 2
IG4,Greater London,Group 3
BN51,East Sussex,Group 3
EH49,Falkirk,Group 1
ME12,Kent,Group 3
LA16,Cumbria,Group 1
SS17,Greater London,Group 3
BS99,City of Bristol,Group 2
NR19,Norfolk,Group 3
OX9,Oxfordshire,Group 3
PO4,Hampshire,Group 2
CV21,Warwickshire,Group 2
KA6,East Ayrshire,Group 1
PH25,Highland,Group 1
TA14,Somerset,Group 2
PO39,Isle of Wight,Group 2
TS14,North Yorkshire,Group 1
BB12,Lancashire,Group 1
SE22,Greater London,Group 3
G35,Glasgow City,Group 1
TR21,Cornwall,Group 2
AB16,Aberdeen City,Group 1
KY12,Fife,Group 1
DA14,Kent,Group 3
EH26,Midlothian,Group 1
NR24,Norfolk,Group 3
TN22,East Sussex,Group 3
EC2Y,Greater London,Group 3
G16,Glasgow City,Group 1
TN20,East Sussex,Group 3
TW8,Greater London,Group 3
SA99,Swansea,Group 2
L28,Merseyside,Group 2
EH25,Midlothian,Group 1
EC4V,Greater London,Group 3
PH40,Highland,Group 1
B95,Warwickshire,Group 2
SY9,Shropshire,Group 2
AB42,Aberdeenshire,Group 1
GY9,Guernsey,Unallocated
PE10,Lincolnshire,Group 1
SE15,Greater London,Group 3
B36,West Midlands,Group 2
LL51,Gwynedd,Group 2
TW13,Greater London,Group 3
MK10,Buckinghamshire,Group 3
BT40,Larne,Unallocated
KY8,Fife,Group 1
LL20,Denbighshire,Group 2
BS2,City of Bristol,Group 2
OX,Gloucestershire,Group 3
CT10,Kent,Group 3
B71,West Midlands,Group 2
BH11,Dorset,Group 2
IV8,Highland,Group 1
CH5,Flintshire,Group 2
B17,West Midlands,Group 2
AB13,Aberdeen City,Group 1
TS10,North Yorkshire,Group 1
SS13,Greater London,Group 3
SA9,Neath Port Talbot,Group 2
PR25,Lancashire,Group 1
PH44,Highland,Group 1
B40,West Midlands,Group 2
M3,Greater Manchester,Group 2
PA44,Argyll and Bute,Group 1
TR24,Cornwall,Group 2
RG41,Berkshire,Group 2
BS1,City of Bristol,Group 2
PA60,Argyll and Bute,Group 1
KA9,South Ayrshire,Group 1
PA46,Argyll and Bute,Group 1
WC2N,Greater London,Group 3
CT12,Kent,Group 3
M30,Greater Manchester,Group 2
NR22,Norfolk,Group 3
17,Ards,Unallocated
BN43,West Sussex,Group 3
S41,Derbyshire,Group 1
TF5,Shropshire,Group 2
BH31,Dorset,Group 2
RH20,West Sussex,Group 3
M8,Greater Manchester,Group 2
NE22,Northumberland,Group 1
GL53,Gloucestershire,Group 2
SP9,Wiltshire,Group 2
M23,Greater Manchester,Group 2
L73,Merseyside,Group 2
LS10,West Yorkshire,Group 1
UB6,Greater London,Group 3
SW1W,Greater London,Group 3
BS41,Somerset,Group 2
CH70,Flintshire,Group 2
LS28,West Yorkshire,Group 1
DT3,Dorset,Group 2
BT61,Armagh,Unallocated
YO14,North Yorkshire,Group 1
GL11,Gloucestershire,Group 2
North Yorkshire,,Unallocated
21,Ards,Unallocated
DA6,Kent,Group 3
YO13,North Yorkshire,Group 1
LE18,Leicestershire,Group 2
DG11,Dumfries and Galloway,Group 1
PL4,Devon,Group 2
DL2,Durham,Group 1
EH1,City of Edinburgh,Group 1
SY17,Powys,Group 2
WA11,Merseyside,Group 2
EX24,Devon,Group 2
EH11,City of Edinburgh,Group 1
BH5,Dorset,Group 2
FY8,Lancashire,Group 1
TR13,Cornwall,Group 2
EH7,City of Edinburgh,Group 1
RM18,Greater London,Group 3
BN20,East Sussex,Group 3
PE9,Cambridgeshire,Group 1
CA23,Cumbria,Group 1
TQ3,Devon,Group 2
UB7,Greater London,Group 3
IP25,Norfolk,Group 3
TQ11,Devon,Group 2
B68,West Midlands,Group 2
TN2,Kent,Group 3
WD,,Group 3
NN29,Bedfordshire,Group 2
RG45,Berkshire,Group 2
CR3,Surrey,Group 3
CO4,Greater London,Group 3
BN3,East Sussex,Group 3
BL11,Lancashire,Group 2
SK8,Cheshire,Group 2
CA4,Cumbria,Group 1
HX4,West Yorkshire,Group 1
NE35,Tyne and Wear,Group 1
WR13,Herefordshire,Group 2
SA7,Swansea,Group 2
WA1,Cheshire,Group 2
NG11,Nottinghamshire,Group 1
SY4,Shropshire,Group 2
HP10,Buckinghamshire,Group 3
RM17,Greater London,Group 3
WN5,Lancashire,Group 2
SG17,Bedfordshire,Group 3
WF90,West Yorkshire,Group 1
PL33,Cornwall,Group 2
S22,South Yorkshire,Group 1
PR0,Lancashire,Group 1
TA23,Somerset,Group 2
B63,West Midlands,Group 2
TS11,North Yorkshire,Group 1
PH15,Perth and Kinross,Group 1
PE12,Lincolnshire,Group 1
NN13,Buckinghamshire,Group 2
PA23,Argyll and Bute,Group 1
EC1M,Greater London,Group 3
BL0,Lancashire,Group 2
LL65,Isle of Anglesey,Group 2
MK11,Buckinghamshire,Group 3
B7,West Midlands,Group 2
HU7,East Riding of Yorkshire,Group 1
NE17,Durham,Group 1
WD3,Hertfordshire,Group 3
W1G,Greater London,Group 3
TW16,Surrey,Group 3
CA26,Cumbria,Group 1
S24,South Yorkshire,Group 1
PA37,Argyll and Bute,Group 1
NR8,Norfolk,Group 3
CF72,"Rhondda, Cynon, Taff",Group 2
WS3,West Midlands,Group 2
EC4N,Greater London,Group 3
HU11,East Riding of Yorkshire,Group 1
TS20,Durham,Group 1
PA74,Argyll and Bute,Group 1
SW2,Greater London,Group 3
SN10,Wiltshire,Group 2
SO24,Hampshire,Group 2
BT57,Coleraine,Unallocated
CF47,Merthyr Tydfil,Group 2
PA20,Argyll and Bute,Group 1
KA10,South Ayrshire,Group 1
SO42,Hampshire,Group 2
TW5,Greater London,Group 3
SW5,Greater London,Group 3
PA15,Inverclyde,Group 1
TQ6,Devon,Group 2
M28,Greater Manchester,Group 2
DL10,North Yorkshire,Group 1
FK10,Clackmannanshire,Group 1
HA0,Greater London,Group 3
EC2P,Greater London,Group 3
PE38,Norfolk,Group 1
KT15,Surrey,Group 2
CV1,West Midlands,Group 2
KA26,South Ayrshire,Group 1
HR9,Gloucestershire,Group 2
B90,West Midlands,Group 2
LA15,Cumbria,Group 1
22,Ards,Unallocated
SG14,Hertfordshire,Group 3
RM5,Greater London,Group 3
BT39,Antrim,Unallocated
AB30,Aberdeenshire,Group 1
EX6,Devon,Group 2
SY14,Cheshire,Group 2
